X,Y
0.831049,0.43543
0.265237,0.837531
0.375563,0.0810571
0.326095,0.676788
0.770888,0.309046
0.139807,0.734291
0.221436,0.67616
0.223172,0.858899
0.513005,0.0717453
0.824067,0.096358
0.488231,0.697005
0.557413,0.435492
0.321703,0.860476
0.0267951,0.345065
0.509939,0.539432
0.229541,0.899447
0.00303796,0.0589278
0.399872,0.653393
0.573313,0.678955
0.192196,0.241443
0.937125,0.259118
9.50177e-05,0.596963
0.154133,0.510389
0.100769,0.622027
0.403011,0.406894
0.666612,0.752315
0.150724,0.21541
0.391304,0.647909
0.404581,0.793169
0.79475,0.360672
0.807198,0.580121
0.0917234,0.595602
0.285184,0.0949983
0.636313,0.507841
0.290138,0.343994
0.510338,0.252766
0.239606,0.0551406
0.7478,0.270904
0.0865575,0.772468
0.865608,0.267139
0.803248,0.187481
0.990423,0.0375679
0.403352,0.132118
0.504773,0.71366
0.48173,0.432594
0.604879,0.196008
0.310912,0.492931
0.688917,0.635418
0.465857,0.659762
0.627738,0.385486
0.867615,0.00393232
0.0904718,0.558838
0.39215,0.858889
0.352611,0.336315
0.448594,0.520554
0.956467,0.34744
0.425048,0.781985
0.821162,0.264267
0.535219,0.425936
0.706135,0.0185986
0.586793,0.223685
0.467561,0.2923
0.679526,0.788577
0.615753,0.958988
0.704877,0.87592
0.592871,0.38075
0.271624,0.181749
0.663314,0.310346
0.985669,0.135401
0.691359,0.66915
0.40447,0.920084
0.855914,0.338911
0.071125,0.397191
0.58966,0.407604
0.592496,0.0861894
0.585527,0.955636
0.369811,0.407709
0.367126,0.279651
0.0923349,0.873049
0.340894,0.403209
0.733852,0.854201
0.552358,0.487204
0.436965,0.0655754
0.126083,0.0802629
0.978105,0.00604271
0.559804,0.629299
0.624892,0.55762
0.922813,0.71857
0.013572,0.104478
0.967315,0.657938
0.961792,0.843272
0.867738,0.0717686
0.215628,0.0634366
0.178106,0.421755
0.435068,0.182544
0.0108967,0.141126
0.905276,0.965342
0.502378,0.459943
0.256773,0.576709
0.742101,0.489301
0.674707,0.801347
0.241736,0.86294
0.432984,0.167015
0.0275437,0.927386
0.575794,0.370634
0.249582,0.729991
0.964591,0.888657
0.664481,0.937017
0.452338,0.4494
0.0634915,0.101977
0.931494,0.620932
0.996017,0.0522043
0.397235,0.334041
0.229709,0.725901
0.217537,0.143012
0.601766,0.877348
0.58866,0.606878
0.79037,0.741929
0.60303,0.116893
0.625785,0.576885
0.698989,0.912577
0.677091,0.866339
0.56447,0.0520858
0.406481,0.72456
0.681929,0.185094
0.879193,0.589582
0.0979624,0.453642
0.358389,0.448402
0.284429,0.396448
0.102766,0.181999
0.856987,0.387207
0.785908,0.763441
0.155087,0.540593
0.744577,0.111106
0.362721,0.245579
0.440825,0.946584
0.229755,0.492736
0.421557,0.108086
0.600342,0.944037
0.428696,0.0854188
0.634193,0.883069
0.747667,0.0339478
0.561337,0.392462
0.108951,0.13704
0.231734,0.754141
0.840453,0.500962
0.675755,0.417823
0.359059,0.705538
0.977383,0.867681
0.106519,0.265603
0.992234,0.481385
0.640063,0.54174
0.0288921,0.588771
0.477505,0.42634
0.503619,0.322961
0.0109106,0.374665
0.992874,0.228156
0.622314,0.234307
0.998893,0.388056
0.0652522,0.694051
0.910722,0.503339
0.626279,0.868868
0.0647624,0.462205
0.281313,0.0250068
0.289671,0.493653
0.82195,0.511469
0.262328,0.95168
0.889484,0.55703
0.00706145,0.68174
0.00532652,0.522786
0.458832,0.594513
0.985521,0.649535
0.738324,0.0174772
0.739017,0.660767
0.506438,0.698596
0.3077,0.517694
0.889201,0.793237
0.928486,0.0561998
0.549777,0.0968814
0.286502,0.242293
0.215334,0.116749
0.192959,0.0554403
0.784585,0.519068
0.981341,0.403269
0.74552,0.954847
0.118727,0.437857
0.0611415,0.605837
0.301354,0.849024
0.548709,0.148544
0.572349,0.467218
0.529392,0.486915
0.587605,0.884362
0.467555,0.202821
0.807994,0.952928
0.868795,0.831162
0.3445,0.0148231
0.132563,0.984942
0.927745,0.602498
0.175932,0.883544
0.722729,0.908528
0.629049,0.418242
0.391107,0.328949
0.648612,0.221765
0.198705,0.627233
0.909215,0.181544
0.215782,0.651593
0.330031,0.834989
0.657744,0.709654
0.156938,0.654574
0.43055,0.248863
0.638987,0.446462
0.692766,0.323772
0.635336,0.0916249
0.939542,0.889213
0.00882182,0.268398
0.960405,0.526311
0.703203,0.736249
0.133291,0.222825
0.0155437,0.24347
0.0036668,0.62797
0.290492,0.304698
0.0574681,0.867046
0.435781,0.172964
0.00537261,0.297416
0.674489,0.142488
0.799628,0.352393
0.66171,0.352456
0.732099,0.381127
0.605199,0.58372
0.581958,0.974757
0.732984,0.265488
0.0645213,0.408788
0.493153,0.427746
0.130645,0.751587
0.918085,0.257929
0.00589729,0.115762
0.614204,0.928061
0.918473,0.771612
0.486986,0.779687
0.194101,0.247811
0.956315,0.782528
0.940353,0.516558
0.789377,0.0558516
0.697961,0.634998
0.40907,0.245403
0.488085,0.238335
0.698192,0.512314
0.465459,0.967309
0.560492,0.184792
0.801405,0.214945
0.586896,0.954799
0.31092,0.633516
0.502206,0.57382
0.198177,0.757648
0.791602,0.447927
0.314524,0.20527
0.978962,0.406656
0.668441,0.489402
0.371433,0.667665
0.453167,0.376941
0.238986,0.642775
0.112161,0.0825441
0.319394,0.0517026
0.965974,0.12179
0.927767,0.983931
0.933112,0.820132
0.954209,0.385378
0.0429126,0.231702
0.220813,0.19788
0.776281,0.962515
0.99443,0.385307
0.850166,0.741252
0.214105,0.459125
0.516533,0.36356
0.347874,0.723591
0.39862,0.609217
0.113993,0.884606
0.56682,0.539343
0.741232,0.884427
0.561337,0.39794
0.185403,0.0607656
0.286826,0.691207
